1 551 1 3.2308 97 36 11
2 551 1 3.2233 97 36 11
3 551 1 3.2382 97 36 11
4 551 1 3.2233 97 36 11
5 551 1 3.234 118 36 11
6 551 1 3.2661 96 36 11
7 551 1 3.2284 101 36 11
8 581 1 3.1739 26 38 11
9 611 1 3.6995 24 40 11
10 614 1 5.4436 16 40 14
11 613 1 4.1697 7 40 13
12 629 1 5.3373 9 41 14
13 614 1 5.3863 20 40 14
14 614 1 5.3673 20 40 14
15 614 1 5.332 22 40 14
16 644 1 5.3593 5 42 14
17 674 1 5.6909 3 44 14
18 703 1 8.8475 2 46 13
19 691 1 3.3904 3 45 15
20 661 1 3.4448 5 43 15
21 631 1 3.5057 7 41 15
22 601 1 3.532 25 39 15
23 631 1 3.5175 16 41 15
24 630 1 6.082 16 41 14
25 600 1 6.0297 48 39 14
26 630 1 5.9544 30 41 14
27 646 1 5.6243 35 42 15
28 676 1 5.5453 12 44 15
29 706 1 5.4539 10 46 15
30 736 1 4.9767 8 48 15
31 766 1 4.9273 6 50 15
32 796 1 5.2798 4 52 15
33 826 1 5.2045 2 54 15
34 495 1 3.4182 35 32 15
35 525 1 3.3544 33 34 15
36 550 1 6.1142 33 36 9
37 580 1 6.591 26 38 9
38 601 1 5.6318 25 39 16
39 601 1 5.6265 25 39 16
40 601 1 5.6427 26 39 16
41 631 1 5.637 4 41 16
42 643 1 7.5206 3 42 13
43 643 1 7.5605 3 42 13
44 628 1 3.5883 4 41 13
45 598 1 5.3533 6 39 13
46 568 1 3.6603 8 37 13
47 538 1 3.7355 10 35 13
48 508 1 3.4244 205 33 13
49 508 1 5.5322 199 33 13
50 508 1 3.3784 199 33 13
51 508 1 3.3828 223 33 13
52 508 1 3.4335 223 33 13
53 538 1 3.6776 13 35 13
54 570 1 4.0316 11 37 13
55 600 1 4.5282 9 39 13
56 630 1 4.9022 7 41 13
57 660 1 5.3527 5 43 13
58 690 1 5.7192 3 45 13
59 675 1 4.2107 20 44 15
60 645 1 4.2585 32 42 15
61 675 1 4.1858 11 44 15
62 691 1 5.4997 14 45 16
63 721 1 5.564 8 47 16
64 751 1 5.8014 6 49 16
65 781 1 6.0125 4 51 16
66 811 1 6.047 2 53 16
67 600 1 5.7345 2 39 15
68 570 1 5.6676 10 37 15
69 554 1 4.9617 10 36 14
70 524 1 4.9466 12 34 14
71 494 1 4.9867 19 32 14
72 524 1 4.982 5 34 14
73 539 1 6.9736 14 35 14
74 569 1 6.9013 12 37 14
75 599 1 6.8633 10 39 14
76 600 1 5.5398 11 39 14
77 630 1 5.5781 4 41 14
78 660 1 5.5606 2 43 14
79 675 1 4.5968 2 44 15
80 645 1 4.4734 4 42 15
81 615 1 4.4122 6 40 15
82 585 1 4.4732 16 38 15
83 555 1 4.6837 31 36 15
84 585 1 4.4818 13 38 15
85 599 1 4.7243 12 39 14
86 599 1 4.8507 49 39 14
87 599 1 4.7512 45 39 14
88 599 1 4.8004 45 39 14
89 599 1 4.9099 45 39 14
90 599 1 4.7377 45 39 14
91 599 1 4.8791 45 39 14
92 570 1 4.2376 60 37 15
93 600 1 4.301 14 39 15
94 630 1 4.2388 16 41 15
95 643 1 3.8569 5 42 13
96 643 1 3.9466 5 42 13
97 643 1 3.9169 5 42 13
98 643 1 3.8612 5 42 13
99 630 1 4.0902 6 41 15
100 523 1 6.1901 21 34 13
101 553 1 6.2094 19 36 13
102 563 1 3.3978 20 37 8
103 593 1 3.3422 9 39 8
104 623 1 3.3423 7 41 8
