1 323 1 3.3047 59 25 19 0
2 319 1 3.1307 362 23 19 0
3 319 1 3.2694 305 23 19 0
4 323 1 3.7477 148 21 15 0
5 323 1 4.7467 127 21 15 0
6 323 1 4.8283 169 21 15 0
7 323 1 4.7063 172 21 15 0
8 338 1 3.8038 8 25 18 0
9 319 1 5.1576 345 23 19 0
10 319 1 4.5742 384 23 19 0
11 319 1 5.166 348 23 19 0
12 319 1 5.0365 271 23 19 0
13 335 1 5.725 28 25 23 0
14 337 1 5.8968 26 25 25 0
15 343 1 5.7924 4 27 25 0
16 345 1 5.1425 13 20 13 0
17 309 1 5.0214 210 14 7 0
18 309 1 4.6344 199 14 7 0
19 309 1 5.6803 256 14 7 0
20 309 1 5.2625 257 14 7 0
21 319 1 5.4998 100 16 7 0
22 328 1 4.452 63 23 13 0
23 340 1 5.0334 26 25 17 0
24 344 1 5.7143 43 24 15 0
25 345 1 5.2619 25 20 13 0
26 347 1 5.2509 20 20 15 0
27 375 1 5.4952 16 22 15 0
28 352 1 4.5596 9 23 19 0
29 352 1 5.0249 13 23 19 0
30 374 1 5.6279 8 25 19 0
31 366 1 3.7986 155 25 18 0
32 366 1 3.6999 161 25 18 0
33 378 1 4.4194 16 27 18 0
34 382 1 5.4563 5 36 25 0
35 429 1 8.1377 2 25 22 0
36 429 1 7.6796 4 24 19 0
37 385 1 6.784 41 22 19 0
38 385 1 5.8442 41 22 19 0
39 441 1 6.5054 4 24 19 0
40 366 1 5.7633 16 25 24 0
41 364 1 3.1483 85 18 16 0
42 364 1 3.2952 75 18 16 0
43 364 1 3.6924 67 18 16 0
44 364 1 3.404 72 18 16 0
45 384 1 2.3134 17 20 16 0
46 426 1 6.7064 5 28 21 0
47 426 1 6.211 6 28 21 0
48 367 1 5.3606 28 23 20 0
49 367 1 6.2591 24 23 20 0
50 383 1 3.1433 15 22 15 0
51 385 1 3.3022 13 22 17 0
52 390 1 5.6244 8 28 18 0
53 388 1 5.3146 4 30 16 0
54 384 1 5.3124 10 28 16 0
55 372 1 5.2932 25 26 16 0
56 356 1 4.4755 20 24 17 0
57 356 1 4.7794 6 24 17 0
58 400 1 5.259 4 26 17 0
59 478 1 3.7509 2 28 22 0
60 338 1 3.1218 54 29 23 0
61 334 1 2.8843 58 27 23 0
62 326 1 2.2893 205 25 23 0
63 326 1 3.415 282 25 23 0
64 350 1 4.5233 89 23 15 0
65 350 1 5.0593 93 23 15 0
66 360 1 4.8655 13 25 15 0
67 365 1 4.2574 15 21 18 0
68 371 1 4.3406 13 23 18 0
69 362 1 2.8602 2 22 22 0
70 357 1 3.5607 73 21 14 0
71 325 1 3.4695 137 19 14 0
72 325 1 3.312 67 19 14 0
73 325 1 3.2824 67 19 14 0
74 325 1 2.0585 64 19 14 0
75 360 1 3.5169 42 22 16 0
76 360 1 3.9679 36 22 16 0
77 360 1 4.7105 36 22 16 0
78 360 1 4.8779 33 22 16 0
79 388 1 4.6258 5 32 19 0
80 388 1 4.5358 5 32 19 0
81 372 1 8.1125 4 25 21 0
82 368 1 8.6248 22 23 21 0
83 368 1 10.256 23 23 21 0
84 370 1 10.667 14 23 23 0
85 380 1 10.831 12 25 23 0
86 391 1 6.1268 7 29 20 0
87 409 1 5.8002 4 31 20 0
88 391 1 7.5739 8 32 25 0
89 359 1 7.336 49 30 25 0
90 359 1 6.8304 60 30 25 0
91 357 1 6.7695 84 32 37 0
92 395 1 6.0746 25 31 26 0
93 421 1 4.6848 2 25 16 0
